batch,loss,size
598,0.02810537,8
599,0.0328663,8
600,0.02214228,8
601,0.017162815,8
602,0.035078287,8
603,0.020881819,8
604,0.036497146,8
605,0.025983265,8
606,0.020397358,8
607,0.022338271,8
608,0.05053727,8
609,0.03723353,8
610,0.025241438,8
611,0.035558302,8
612,0.039148513,8
613,0.02637625,8
614,0.038494363,8
615,0.024435075,8
616,0.0517877,8
617,0.021092981,8
618,0.037811365,8
619,0.02158208,8
620,0.024718987,8
621,0.045371268,8
622,0.031095404,8
623,0.023540476,8
624,0.032216184,8
625,0.01919627,8
626,0.021291753,8
627,0.046732277,8
628,0.029235207,8
629,0.03231577,8
630,0.037313893,8
631,0.024304466,8
632,0.025120484,8
633,0.03105229,8
634,0.034458935,8
635,0.035148032,8
636,0.028834555,8
637,0.044637036,8
638,0.024072303,8
639,0.026397021,8
640,0.028976718,8
641,0.035420075,8
642,0.033601858,8
643,0.024156703,8
644,0.020636596,8
645,0.027833331,8
646,0.029126827,8
647,0.027709985,8
648,0.027018055,8
649,0.026313564,8
650,0.022593074,8
651,0.020317698,8
652,0.025528783,8
653,0.022592464,8
654,0.027498703,8
655,0.04242243,8
656,0.019459113,8
657,0.029533176,8
658,0.021818997,8
659,0.03406706,8
660,0.023100406,8
661,0.04833741,8
662,0.032663114,8
663,0.037841644,8
664,0.022280686,8
665,0.02260423,8
666,0.036551174,8
667,0.035228703,8
668,0.038209654,8
669,0.02766507,8
670,0.034694303,8
671,0.03415208,8
672,0.021431563,8
673,0.025999032,8
674,0.034465905,8
675,0.0199046,8
676,0.06589868,8
677,0.02003887,8
678,0.026612489,8
679,0.031731702,8
680,0.03125897,8
681,0.024041919,8
682,0.03595815,8
683,0.02908494,8
684,0.024411036,8
685,0.02560034,8
686,0.020633254,8
687,0.027065026,8
688,0.022218078,8
689,0.027847318,8
690,0.037213407,8
691,0.023286927,8
692,0.040321857,8
693,0.021826643,8
694,0.036194846,8
695,0.022132916,8
696,0.016604222,8
697,0.022226188,8
698,0.023882825,8
699,0.02598971,8
700,0.024287945,8
701,0.031058073,8
702,0.019547047,8
703,0.028987925,8
704,0.021966917,8
705,0.020358885,8
706,0.016592389,8
707,0.023838269,8
708,0.030453058,8
709,0.029505325,8
710,0.039317135,8
711,0.017104782,8
712,0.021949472,8
713,0.041784175,8
714,0.02570334,8
715,0.025640894,8
716,0.01253881,8
717,0.018995136,8
718,0.024785569,8
719,0.019147016,8
720,0.027529983,8
721,0.024832038,8
722,0.030377248,8
723,0.036995124,8
724,0.022782147,8
725,0.029083619,8
726,0.030765394,8
727,0.022507848,8
728,0.023456408,8
729,0.020285787,8
730,0.026007434,8
731,0.030278234,8
732,0.025512123,8
733,0.018965404,8
734,0.020160573,8
735,0.050319284,8
736,0.025490385,8
737,0.03502842,8
738,0.037552517,8
739,0.031159079,8
740,0.021040365,8
741,0.025783718,8
742,0.025433227,8
743,0.03402827,8
744,0.022413563,8
745,0.028305992,8
746,0.026513588,8
747,0.02519791,8
748,0.030321013,8
749,0.03503014,8
750,0.03886158,8
751,0.017722182,8
752,0.031217454,8
753,0.0269111,8
754,0.02044133,8
755,0.02077216,8
756,0.02669244,8
757,0.024081368,8
758,0.026316632,8
759,0.025590567,8
760,0.017671576,8
761,0.018761363,8
762,0.038396724,8
763,0.018223476,8
764,0.0260101,8
765,0.023073051,8
766,0.022758977,8
767,0.05669797,8
768,0.018940464,8
769,0.028984144,8
770,0.025638629,8
771,0.02069037,8
772,0.020924965,8
773,0.0217938,8
774,0.020914756,8
775,0.024959087,8
776,0.022689,8
777,0.026435072,8
778,0.017664237,8
779,0.033168934,8
780,0.024465594,8
781,0.018702531,8
782,0.028264886,8
783,0.02394601,8
784,0.02390321,8
785,0.02293235,8
786,0.03204209,8
787,0.02329718,8
788,0.057447903,8
789,0.031784356,8
790,0.03178922,8
791,0.03484295,8
792,0.025005968,8
793,0.029190322,8
794,0.040699977,8
795,0.023476232,8
796,0.027055979,8
797,0.022565948,8
798,0.029862765,8
799,0.03846602,8
800,0.027072081,8
